cue,start_sec,end_sec,dur_sec,vad3_speech_ratio,vad1_speech_ratio,onset_delta_sec,timecode_confidence,flags,text_head
472,3533.44,3539.94,6.5,0.414,0.515,-0.01,중간,,그 건물 내부에서 저 백룸을 뭐라고 해야하지?
473,3540.84,3549.94,9.1,0.198,0.293,0.06,낮음,no_speech_detected,관찰하고 있었던거지 이거 어떻게 해야되지?
474,3552.89,3553.94,1.05,0.0,0.61,-4.58,중간,onset_off,일단 저게? 이건 뭐지?
475,3557.49,3558.94,1.45,0.766,0.869,0.06,높음,,일단 이건 작동을 안하고
476,3564.24,3567.94,3.7,0.559,0.754,0.06,중간,,되돌아서 나가서 뭔가를 해갖고 어? 이건가?
477,3568.32,3571.94,3.62,0.281,0.453,0.07,낮음,no_speech_detected,어? 이거다 게이트?
478,3573.49,3589.94,16.45,0.166,0.418,0.41,낮음,overlong;no_speech_detected,생존재를 보호하기 위해 제한구역을 최고보호한 모드로 설정했습니다 이거 같
479,3599.54,3602.94,3.4,0.397,0.559,0.1,중간,,제한을 해제 그러면 이제 되는건가?
480,3602.94,3604.94,2.0,0.0,0.31,-1.35,낮음,onset_off;no_speech_detected,아니네?
481,3604.94,3606.94,2.0,0.0,0.145,-3.35,낮음,onset_off;no_speech_detected,이건 뭐야?
482,3608.26,3610.94,2.68,0.684,0.724,0.05,중간,,어? 돌아다니면서 다 해제해야 되는건가?
483,3613.51,3620.94,7.43,0.174,0.301,-5.2,낮음,onset_off;no_speech_detected,컴퓨터 또 그쵸 뭔가 이런거 같은데?
484,3623.64,3624.94,1.3,0.977,1.0,0.03,높음,,아니에요?
485,3627.89,3640.94,13.05,0.756,0.92,0.04,중간,overlong,나의 이 보잘것없는 추리력으로는 게임을 할 수가 없네요 처음 방으로 가서
486,3641.34,3642.94,1.6,0.0,0.263,2.25,낮음,onset_off;no_speech_detected,잠깐만
487,3646.39,3647.94,1.55,0.406,0.748,0.05,중간,,아까 처음 방에다
488,3648.94,3650.94,2.0,0.615,1.0,0.02,중간,,0이라고 써있었던거 같은데
489,3652.79,3662.94,10.15,0.177,0.56,0.01,중간,overlong,4 아 2방이다 2방 1 여기서?
490,3662.94,3666.94,4.0,0.497,0.685,-0.09,중간,,이걸 누르라는 얘기죠 아~
491,3666.94,3668.94,2.0,1.0,1.0,-0.01,높음,,불안해
492,3670.34,3671.94,1.6,0.138,1.0,3.13,중간,onset_off,어?
493,3673.39,3674.94,1.55,0.252,0.845,0.08,중간,,뭐야 자동인식이야?
494,3675.29,3678.94,3.65,0.23,0.66,0.1,중간,,아까 했으면 켜지고 뭐야 불을 왜 꺼졌어?
495,3679.59,3680.94,1.35,0.756,1.0,0.06,높음,,아 왜?
496,3681.64,3682.94,1.3,0.231,1.0,0.05,중간,,켜줘
497,3689.11,3690.94,1.83,0.616,0.732,-0.79,중간,,라이트 안에 있으려잖아
498,3691.99,3694.94,2.95,0.681,0.868,0.08,중간,,어두운데 있을때 공격하는거 같은데
499,3695.49,3697.94,2.45,0.71,0.976,0.06,높음,,아 얘는 켜져 딱 꺼졌다는건가 봐요?
500,3704.84,3705.94,1.1,0.3,0.409,0.07,중간,,뭐
501,3708.59,3712.94,4.35,0.586,0.745,0.07,중간,,뭐 들어와봐 뭐 이건 뭐 어쩌건데 니네들이
502,3716.44,3717.94,1.5,0.973,1.0,-0.04,높음,,이런데 딱 들어갔는데
503,3718.79,3722.94,4.15,0.694,0.875,0.07,중간,,불이 딱 꺼지면 이제 쟤네들이 달려와서 죽이는거지
504,3723.24,3724.94,1.7,0.371,0.635,0.06,중간,,아 그런 느낌인가봐
505,3726.19,3730.94,4.75,0.516,0.617,-0.28,중간,,아 무서워 어 근데 이러면 내가 아무것도 할 수가 없는데?
506,3734.19,3735.94,1.75,1.0,1.0,-0.09,높음,,잠깐만 다음 밝은 지역이 어디야?
507,3736.39,3738.94,2.55,0.925,1.0,-2.29,중간,onset_off,반대편까지 뛰어가야되나보다
508,3739.34,3740.94,1.6,0.206,0.288,0.04,낮음,no_speech_detected,오케이
509,3741.94,3744.94,3.0,0.577,0.607,-0.13,중간,,직선으로 된 데를 한번 뛰어가고
510,3745.44,3747.94,2.5,0.576,0.988,0.06,중간,,하시면 스타트
511,3750.39,3752.94,2.55,0.965,1.0,0.06,높음,,잠깐만 스태미나 왜 이렇게 보자꺼 없냐?
512,3755.34,3756.94,1.6,0.413,0.506,-1.38,중간,onset_off,끝나버렸죠?
513,3758.91,3762.94,4.03,0.774,0.926,-0.06,높음,,이제 저도 리액션이 약간 아 그래요?
514,3763.24,3765.94,2.7,0.752,1.0,-0.01,높음,,리액션이 약간 줄어들기 시작했어요
515,3766.89,3768.94,2.05,0.971,1.0,0.06,높음,,무서움이 약간 줄어들기 시작했어요
516,3770.94,3776.94,6.0,0.595,0.91,-1.23,중간,onset_off,아 바로 옆에 있어요 어 라이트 어디갔냐?
517,3777.59,3781.94,4.35,0.8,0.947,0.07,높음,,나 라이트가 없어졌어 라이트 처음에 안주나?
518,3786.54,3787.94,1.4,0.75,1.0,0.03,높음,,손짱등이 없어졌어요
519,3795.14,3796.94,1.8,0.0,0.856,1.96,중간,onset_off,아이씨 여기 못들어가잖아
520,3799.79,3800.94,1.15,0.243,0.348,-0.02,낮음,no_speech_detected,가자
521,3803.99,3805.94,1.95,0.877,1.0,0.1,높음,,아 저 옆에 있구나
522,3806.91,3807.94,1.03,0.82,0.961,0.03,높음,,아니
523,3810.04,3811.94,1.9,0.284,0.347,0.05,낮음,no_speech_detected,왓더
524,3812.44,3825.94,13.5,0.336,0.95,0.02,중간,overlong,왓더풀 오케이 장기술이요?
525,3825.94,3828.94,3.0,0.657,0.77,-1.39,중간,onset_off,어 잠깐만요 너무 시끄럽은데?
526,3829.91,3829.73,-0.18,0.0,0.0,-0.38,낮음,broken_duration;no_speech_detected,장기술이요?
527,3829.73,3832.94,3.21,0.704,1.0,-0.2,높음,,알려주세요 뭡니까
528,3834.69,3836.94,2.25,0.973,1.0,0.06,높음,,저의 생존에 유리한 장기술인가요?
529,3842.04,3844.94,2.9,0.752,0.99,0.03,높음,,쉬프트 스페이스바 쉬프트 스페이스바
530,3845.04,3846.94,1.9,1.0,1.0,-0.57,중간,,쉬프트 스페이스바
531,3847.39,3852.99,5.6,0.298,0.796,-2.92,중간,onset_off,쉬프트 스페이스바 쉬프트 스페이스바 이런 느낌이에요?
532,3863.64,3864.94,1.3,0.623,1.0,0.09,중간,,오
533,3865.54,3867.94,2.4,0.613,0.883,0.05,중간,,어? 근데 숨을 거치게 쉬는데?
534,3870.89,3872.94,2.05,0.898,1.0,-0.83,중간,,아 내가 쉬프트가 좀 길었나보다
535,3878.39,3879.94,1.55,0.755,0.871,0.04,높음,,아이 안되네
536,3882.34,3884.94,2.6,0.969,0.981,0.08,높음,,어 그거 영상 저도 본 것 같긴 한데
537,3885.64,3886.94,1.3,0.962,1.0,0.05,높음,,까먹고 있었어요 근데
538,3887.54,3888.94,1.4,0.671,1.0,-1.85,중간,onset_off,어 한번 해볼게요
539,3892.54,3894.94,2.4,0.958,1.0,-0.22,높음,,잠깐만 그냥 점프는 이렇게 느린데
540,3897.44,3898.94,1.5,0.993,1.0,0.01,높음,,이게 약간 그건가 보네
541,3899.59,3906.94,7.35,0.615,0.894,2.06,중간,onset_off,달리기 하는 척 해놓고 점프를 하면 점프가 빠른가 봐요 아니 문 열어주세
542,3909.24,3912.94,3.7,0.568,0.884,0.06,중간,,아 불 켜주세요 사장님 저기요
543,3914.29,3916.94,2.65,0.992,0.992,0.02,높음,,아 이 방탈출 게임 안되겠네 이거
544,3917.79,3919.94,2.15,0.986,0.986,0.03,높음,,불부터 꺼버리면 어떻게 들어갑니까 제가
545,3920.99,3924.94,3.95,0.767,0.891,0.01,높음,,무서워요 불 켜주세요
546,3927.14,3928.94,1.8,1.0,1.0,-0.02,높음,,불 켜주세요 빨리
547,3930.41,3934.94,4.53,0.622,1.0,-0.38,중간,,점프 쉬프트 점프 쉬프트 점프 쉬프트 점프 쉬프트 점프
548,3935.29,3937.94,2.65,0.679,0.8,0.05,중간,,아하이
549,3938.04,3939.94,1.9,0.837,0.853,0.0,높음,,조졌네 이거
550,3940.64,3942.94,2.3,0.917,1.0,-0.26,높음,,야 이제 첫번째 방도 못 가네 큰일났네
551,3945.51,3955.94,10.43,0.37,0.876,-0.12,중간,overlong,갑니다 나지 아이 조졌네 또 죽었죠?
552,3960.94,3962.94,2.0,0.745,0.82,-0.55,중간,,다시 해보자
553,3964.29,3975.94,11.65,0.729,0.882,0.03,중간,overlong,이게 단순히 공포게임이 아니라 근성게임으로 가는 순간 저한테 상당히 유리
554,3978.29,3979.94,1.65,0.97,1.0,-0.02,높음,,근데 앞이 안보여요 너무 무서워요
555,3980.41,3983.47,3.06,0.255,0.873,-0.1,중간,,여기 어디야 여기 여기까지는 못 와요?
556,3984.52,3992.94,8.42,0.255,0.401,1.43,낮음,onset_off;no_speech_detected,여기서 구경하고 있어야겠다 그러네 못 오네 여기서?
557,3993.97,4002.94,8.97,0.427,0.885,-0.09,중간,,일단 그냥 달리기 오케이 성공 여기까지 왔죠?
558,4004.19,4009.94,5.75,0.616,0.692,0.03,중간,,뭐 니가 어떻게 할건데 그냥 달리기 일단 그냥 달리기
559,4013.49,4017.94,4.45,0.654,0.809,0.06,중간,,아 안되네 아 아 스테미나
560,4018.74,4019.94,1.2,0.575,0.65,0.03,중간,,야 너
561,4020.49,4022.94,2.45,0.673,0.98,0.05,중간,,달리기를 못하는구나 친구야
562,4025.39,4027.94,2.55,0.824,0.933,0.01,높음,,이게 기술이 뭔가 있어야 될 것 같은데
563,4028.64,4030.94,2.3,0.626,1.0,-0.21,중간,,아까 알려주셨던 기술
564,4033.94,4036.94,3.0,0.09,0.16,1.6,낮음,onset_off;no_speech_detected,한번 해보자
565,4038.34,4039.94,1.6,0.744,1.0,0.05,높음,,스타트
566,4056.94,4059.94,3.0,0.697,0.737,-0.49,중간,,다 왔는데
567,4060.34,4062.94,2.6,0.996,0.996,0.01,높음,,어렵다 아니 애들이 빠르네요
568,4066.14,4081.94,15.8,0.368,0.828,0.03,중간,overlong,이제 점점 달리기 게임이 돼가고 있거든요 저 왼쪽으로 가볼까?
569,4085.49,4087.94,2.45,0.816,1.0,-0.03,높음,,왼쪽 너무 멀어 이쪽이 오른쪽이 맞는데
570,4088.09,4090.94,2.85,1.0,1.0,-1.31,중간,onset_off,지금 오른쪽부터 해가지고 이렇게 돌아가는 것 같은데
571,4094.39,4097.94,3.55,0.406,0.515,0.04,중간,,나를 보고있네 어쩌라고 이 자식아
572,4099.16,4100.16,1.0,0.575,1.0,-0.08,중간,,난 저기 갈거야
573,4101.19,4102.94,1.75,0.594,1.0,0.05,중간,,밤이 되었습니다
574,4103.54,4104.94,1.4,1.0,1.0,-0.65,중간,,아 마피아 게임이구만
575,4105.09,4110.94,5.85,0.532,0.732,1.52,중간,onset_off,밤이 되었습니다 마피아는 시민을 지목해주세요
576,4118.94,4125.94,7.0,0.562,0.917,-0.09,중간,,뛰어 뛰어 다 왔다 다 왔다 아 왔다 오케이 뭐야 아무것도 없어?
577,4125.94,4127.94,2.0,0.0,0.18,-1.6,낮음,onset_off;no_speech_detected,맞죠?
578,4128.86,4134.94,6.07,0.366,0.792,-0.11,중간,,찾아보고 있네 어쩌라고 아무것도 못하죠?
579,4135.24,4137.94,2.7,0.5,0.53,0.02,중간,,라이트는 하나 줄면 안돼요?
580,4138.24,4139.94,1.7,1.0,1.0,-0.04,높음,,아니 이거 뭘 먹은거 아니야?
581,4139.94,4141.94,2.0,0.225,0.435,-1.74,낮음,onset_off;no_speech_detected,뭘 먹긴 먹은 것 같은데
582,4144.19,4145.94,1.75,0.617,1.0,0.07,중간,,아니 안보여
583,4148.94,4158.94,10.0,0.246,0.631,-1.23,중간,overlong;onset_off,아 죽으면서 하나도 안보여 아 9개는 나왔나?
584,4158.94,4160.94,2.0,0.15,0.64,-1.06,중간,onset_off,어디로 가야되지?
585,4163.94,4165.94,2.0,0.3,0.645,0.6,중간,,잘생긴 얼굴들 보게
586,4167.91,4169.94,2.02,0.674,1.005,-0.1,중간,,스타트
587,4173.04,4174.04,1.0,0.63,1.0,0.05,중간,,아 왔다
588,4174.59,4179.94,5.35,0.387,0.679,0.06,중간,,약간 뭔가 익숙해졌나봐요 달리기 아 나 라이트도 없는데?
589,4179.94,4181.94,2.0,0.0,0.0,2.87,낮음,onset_off;no_speech_detected,뭐야? 깨졌어?
590,4182.89,4183.94,1.05,0.582,1.0,-0.08,중간,,엥?
591,4185.79,4187.94,2.15,0.483,1.0,-0.49,중간,,뭐야?
592,4189.94,4191.94,2.0,0.154,0.4,-1.22,낮음,onset_off;no_speech_detected,여러분
593,4195.94,4199.94,4.0,0.0,1.0,-0.8,중간,,이렇게 무서워요 이렇게 무서워요
594,4200.29,4209.94,9.65,0.311,0.82,0.01,중간,,이렇게 무서워요 이렇게 무서워요 이렇게 무서워요 이렇게 무서워요 이것도
595,4210.79,4212.94,2.15,0.781,1.0,0.01,높음,,만나면 그냥 죽어야 되는거네 이거
596,4213.84,4214.94,1.1,0.464,0.864,0.05,중간,,컨택지가 없네
597,4220.14,4221.94,1.8,0.611,0.711,-0.25,중간,,가봐 모르겠다
598,4222.49,4223.94,1.45,0.931,1.0,0.1,높음,,그래 죽여라 죽여
599,4226.09,4228.94,2.85,0.986,1.0,0.04,높음,,무서워 소리 너무 무서워
600,4233.74,4238.94,5.2,0.86,1.0,0.07,높음,,근데 자꾸 왼쪽인지 오른쪽인지 모를 구분이 안되는 소리가
601,4239.16,4240.94,1.77,0.921,1.006,2.51,중간,onset_off,자꾸 어디서 드르륵 드르륵 나요
602,4241.59,4242.94,1.35,0.444,0.867,0.08,중간,,재무섭네
603,4245.39,4248.94,3.55,0.972,1.0,0.09,높음,,뒤에서 따라오는 것 같기도 하고 옆에서 나는 것 같기도 하고
604,4252.99,4255.94,2.95,0.973,1.0,0.08,높음,,어? 쉬프트 점프로 극복해보자
605,4259.04,4260.94,1.9,1.0,1.0,-1.56,중간,onset_off,뭐야?
606,4262.94,4264.94,2.0,0.3,1.0,-0.18,중간,,야 너였어?
607,4271.02,4275.94,4.92,0.858,0.933,-0.18,높음,,약간은 그 무서운 느낌은 좀 줄어들고 있는 것 같아요 확실히 반복할수록
608,4276.69,4277.94,1.25,1.0,1.0,-0.04,높음,,근데 뭘 해야될지 이제 모르겠어
609,4280.47,4283.94,3.47,1.0,1.0,-0.18,높음,,그 공포감을 계속 느끼면서 이 안에서 계속 헤매는 것만
610,4285.49,4286.94,1.45,1.0,1.0,-0.02,높음,,그거 말고는 사실
611,4288.14,4289.94,1.8,0.783,1.0,-0.45,높음,,내가 할 수 있는게 안보이는데
612,4293.94,4295.94,2.0,0.15,0.67,1.7,중간,onset_off,뭐야?
613,4296.02,4297.94,1.92,0.475,1.0,-0.37,중간,,라이트가 왜 이렇게 멀리있어요
614,4302.09,4305.94,3.85,0.74,1.0,-0.06,높음,,가봐 뛰어 가봐 깜짝이야
615,4312.39,4313.94,1.55,0.135,0.987,0.08,중간,,뭐?
616,4314.09,4315.94,1.85,0.968,1.0,0.06,높음,,뭐? 너 못오잖아
617,4320.19,4321.94,1.75,0.12,0.206,0.05,낮음,no_speech_detected,뭐야?
618,4322.34,4323.94,1.6,0.881,0.956,0.06,높음,,빛 안에 있는데도 오네?
619,4329.09,4330.94,1.85,0.551,1.0,-0.03,중간,,그랬다 왼쪽으로
620,4335.99,4337.94,1.95,0.8,1.0,-0.15,높음,,이게 한판 한판
621,4338.64,4339.94,1.3,0.785,0.985,0.08,높음,,아 달려야 돼요
622,4342.19,4347.94,5.75,0.988,1.0,0.07,높음,,한판 한판 반복할수록 약간 그 스테이지에 있는 애들이 익숙해지는 느낌이긴
623,4348.74,4350.94,2.2,0.959,1.0,0.09,높음,,근데 뭔가 처음 그 상황이 됐을때는
624,4351.99,4353.94,1.95,0.959,1.0,0.08,높음,,여전히 공포감은 남아있어요
625,4355.86,4357.94,2.07,0.448,0.981,0.05,중간,,되게 근데 그 뭐라고 해야되지?
626,4364.04,4366.94,2.9,0.803,1.0,0.18,높음,,그 심리나 이런걸 좀 잘 건드렸다고 해야되나?
627,4366.94,4369.94,3.0,0.473,1.0,-0.2,중간,,사람들의 그런 공포감 같은거
628,4370.84,4371.94,1.1,0.355,1.0,0.07,중간,,쭉 달려요
629,4372.34,4373.94,1.6,0.956,1.0,0.04,높음,,따라잡히고 있는데 지금
630,4375.89,4379.96,4.07,0.759,1.0,-1.23,중간,onset_off,어우 이 소리 봐라 따라잡히는 것 같은데?
631,4379.97,4379.94,-0.03,0.0,0.0,4.51,낮음,broken_duration;onset_off;no_speech_detected,죽었네
632,4381.94,4383.94,2.0,0.0,0.0,2.53,낮음,onset_off;no_speech_detected,하하하하하
633,4388.24,4395.94,7.7,0.805,1.0,-0.68,중간,,아니 처음에는 엄청 무서웠는데 지금은 약간 그 정도까지는 아니에요 그래도
634,4395.94,4399.94,4.0,0.62,0.858,-1.06,중간,onset_off,근데 그냥 달리면 스테미나 때문에 얼마 못달리잖아요
635,4406.94,4407.94,1.0,0.94,1.0,0.06,높음,,그냥 달려도 근데
636,4408.09,4417.94,9.85,0.351,0.741,-1.09,중간,onset_off,약간 차이는 없을것 같은데 가볼게요 아 그래요?
637,4417.94,4419.94,2.0,0.41,1.0,0.97,중간,,그런게 있어?
638,4419.94,4421.94,2.0,0.315,0.445,0.02,중간,,뭐야? 이거 뭐야?
639,4422.84,4423.94,1.1,1.0,1.0,-0.06,높음,,수그리고 가야되나보다
640,4428.39,4435.94,7.55,0.795,1.0,0.03,높음,,아 또 제가 모르는 그런 지식들을 많이 알려주시는군요 감사합니다 도망갈
641,4439.94,4443.94,4.0,0.648,0.903,-0.33,중간,,근데 앞으로 계속 앞으로 가는 키를 누르고 있었는데
642,4446.44,4447.94,1.5,0.78,1.0,0.07,높음,,안 지나가지더라구요
643,4448.39,4449.94,1.55,0.523,1.0,0.07,중간,,수그려서 지나가야되나봐요
644,4451.94,4467.94,16.0,0.375,0.786,-0.21,중간,overlong,점프하거나 이거 봐 지나가지지가 않아 수그려고 쉬프트 스페이스 하다가 이
645,4468.34,4471.94,3.6,0.542,0.869,0.01,중간,,도망가야 돼 도망가야 돼
646,4474.89,4483.94,9.05,0.62,1.0,0.06,중간,,아 그러네 무한이네 진짜 다 왔는데?
647,4484.19,4489.94,5.75,0.661,0.776,0.09,중간,,다 왔는데 다 왔는데 지나쳤어요?
648,4492.99,4493.99,1.0,0.83,1.0,-0.01,높음,,아 지나쳤구나
649,4496.34,4503.94,7.6,0.722,0.995,0.03,높음,,아 이게 그냥 앞으로 뛰라고 하니까 아무 생각없이 그냥 앞으로 뛰고만 있
650,4504.24,4507.94,3.7,0.754,0.881,0.05,높음,,야 졸려님 없었으면 저 게임 어떻게 합니까 이거
651,4508.64,4513.94,5.3,0.645,0.881,0.06,중간,,진작에 껐을것 같은데 무서워 아 나 그만할래
652,4514.14,4517.94,3.8,0.711,1.0,0.05,높음,,그만할래 하면서 껐을것 같은데
653,4520.81,4521.94,1.12,0.64,1.009,0.07,중간,,왼쪽에 출구가 나온다
654,4526.86,4529.94,3.07,0.663,0.847,0.05,중간,,왼쪽에 출구가 나오지 왼쪽에?
655,4534.19,4535.94,1.75,0.206,1.0,0.16,중간,,여긴가?
656,4535.94,4539.94,4.0,0.705,1.0,0.51,중간,,여기다 여기다
657,4548.31,4549.94,1.62,0.48,1.006,0.02,중간,,긴장감
658,4550.24,4551.94,1.7,0.882,1.0,0.04,높음,,이 긴장감 무엇인가
659,4556.34,4557.94,1.6,0.525,0.7,0.06,중간,,잠깐만
660,4558.84,4559.94,1.1,0.927,0.955,0.08,높음,,온몸이 지금
661,4560.11,4565.94,5.82,0.763,0.945,0.52,중간,,계속 긴장해가지고 잠깐만요 닭살이 없어지질 않네
662,4569.81,4571.94,2.12,0.0,0.566,-5.73,중간,onset_off,무서워
663,4574.64,4575.94,1.3,0.0,0.192,1.62,낮음,onset_off;no_speech_detected,뭐야?
664,4576.16,4577.94,1.77,0.186,0.497,0.1,낮음,no_speech_detected,저쪽으로 가야되나보다
665,4581.94,4583.94,2.0,0.775,0.97,-0.34,높음,,광원을 되게 잘 살린것 같아요
666,4584.79,4585.94,1.15,0.183,1.0,0.41,중간,,그 어떤 게임의 요소로써
667,4591.09,4599.94,8.85,0.666,0.794,0.08,중간,,약간 제가 봤던 그 백음 영화에서 봤던 그런 공간의 느낌?
668,4599.99,4601.94,1.95,0.738,1.0,-0.24,높음,,공간의 기계한 느낌?
669,4601.94,4603.94,2.0,0.715,1.0,-0.36,높음,,이런거는 사실 잘 안느껴지거든요
670,4604.74,4607.94,3.2,0.103,0.647,0.68,중간,,평범한 방 평범한
671,4608.69,4609.94,1.25,0.192,0.816,0.06,중간,,그런 느낌인데
672,4610.64,4611.94,1.3,0.0,0.923,-1.89,중간,onset_off,또 불좀 켜주시면 안되요
673,4614.64,4617.94,3.3,0.664,1.0,0.08,중간,,여기도 뭘 하고와가지고 뭘 해야되나보다
674,4618.04,4627.94,9.9,0.03,0.243,-1.31,낮음,onset_off;no_speech_detected,눈부셔 끄면 안보이고 그래요?
675,4628.44,4629.94,1.5,0.76,1.0,0.11,높음,,그럼 여기서 마무리를 할까요?
676,4632.84,4633.94,1.1,0.273,0.518,0.06,중간,,무서워
677,4634.14,4635.94,1.8,0.367,0.989,1.04,중간,onset_off,이스트 서브 스테이션
678,4638.89,4645.94,7.05,0.098,0.455,2.86,낮음,onset_off;no_speech_detected,이런 소리 너무 싫어 뭐잖아?
679,4646.91,4649.94,3.02,0.258,0.725,0.06,중간,,선을 연결시키는 약간 그런건가?
680,4657.09,4658.09,1.0,0.42,0.71,0.02,중간,,마우스가 안 움직여
681,4665.94,4667.94,2.0,0.0,0.15,2.03,낮음,onset_off;no_speech_detected,좀 더 해보고 싶은데
682,4669.94,4675.94,6.0,0.335,0.52,-1.97,중간,onset_off,좀 깜짝깜짝 깜짝 깜짝 놀래키긴 하는데 그래도
683,4678.49,4679.94,1.45,0.579,0.772,0.16,중간,,사실은 졸라 지금 끄고 싶습니다
684,4681.02,4682.02,1.0,0.24,0.63,0.34,중간,,되게 무섭거든요
685,4683.77,4687.94,4.17,0.596,0.871,0.11,중간,,온몸이 긴장되고 지금 자꾸 놀래가지고
686,4689.94,4693.94,4.0,0.29,0.685,-0.37,중간,,좀 편안한 게임을 좀 하고 싶은데 이 게임을 끄고
687,4694.19,4695.94,1.75,0.0,0.206,-0.81,낮음,no_speech_detected,아 이게 열리는 소리였구나
688,4702.14,4703.94,1.8,0.817,0.883,0.09,높음,,아
689,4704.54,4705.94,1.4,0.936,0.957,0.09,높음,,그럼 여태까지 막
690,4706.06,4707.94,1.88,0.691,0.835,-1.43,중간,onset_off,소리 나고 했던게
691,4708.94,4713.94,5.0,0.822,0.972,0.07,높음,,내가 뭔가를 했을때 어떤 장소가 열렸다 지금 이 소리를 알려주는거에요?
692,4716.49,4719.94,3.45,0.226,0.765,0.08,중간,,난 몰랐어 저거 놀래키는 요소인줄 알았어요
693,4720.64,4721.94,1.3,0.692,1.0,0.4,중간,,너무 귀에다 대고
694,4722.14,4725.94,3.8,0.297,0.676,-1.1,중간,onset_off,소리를 내주니까 무섭다고 생각만 했지
695,4727.84,4735.94,8.1,0.444,0.78,0.07,중간,8s_padding,그게 뭐가 열렸다 이런 표시인지는 모르겠네 근데 지금 보니까 그런 표시인
696,4757.94,4761.94,4.0,0.878,0.983,-0.27,높음,,거기서부터는 졸려님도 간단한 설명으로는 진행이 안되는거죠
697,4764.44,4767.94,3.5,0.626,0.951,0.13,중간,,막 이것저것 막 돌아다니면서 노가도 하고 막 해야 되는 느낌인데요
698,4768.09,4769.94,1.85,0.032,0.178,-1.24,낮음,onset_off;no_speech_detected,그죠?
699,4769.94,4775.94,6.0,0.63,0.83,-0.06,중간,,지금 똑같아보이는 배선판이나 이런게 엄청 많아가지고
700,4776.34,4777.94,1.6,0.894,0.969,0.17,높음,,뭐 여기가서 이거 해보고 저기가서
701,4778.19,4779.94,1.75,0.0,0.634,-1.68,중간,onset_off,이거 해보고 약간 요런 느낌인데
702,4781.77,4783.94,2.17,0.257,0.382,0.15,낮음,no_speech_detected,그죠?
703,4783.94,4785.94,2.0,0.11,0.185,-0.35,낮음,no_speech_detected,그러면
704,4786.69,4787.94,1.25,0.456,0.984,0.5,중간,,네 그러면
705,4788.34,4789.94,1.6,0.281,0.406,0.02,낮음,no_speech_detected,지금
706,4790.34,4793.94,3.6,0.983,0.992,0.06,높음,,절대 제가 무서워서 정리하는거 아닙니다
707,4798.74,4811.94,13.2,0.607,0.825,0.09,중간,overlong,이번에 백룸 영화 백룸 시청기념 ESCAPE THE BACKROOM 게임
708,4813.94,4821.94,8.0,0.741,0.854,-0.38,높음,8s_padding,뭐 이 다음 구간에는 뭐 같이 하실 수 있는 분이 있으면 나중에 좀 같이
709,4822.22,4823.94,1.72,0.235,0.494,-0.61,낮음,no_speech_detected,될 것 같고요
710,4827.94,4833.94,6.0,0.783,0.87,-0.34,높음,,여기서부터는 제가 뭐 한 뭐 20~30분 1시간 뭐 삽질을 한다고 얘가
711,4834.39,4835.94,1.55,0.961,1.0,-0.01,높음,,진행이 엄청 빠르게 될 것 같진 않고
712,4836.04,4845.94,9.9,0.524,0.844,0.5,중간,,그래도 나중에 같이 모르는 분들이랑이라도 뭔가 이렇게 다른 분들이랑 같이
713,4846.24,4847.94,1.7,0.918,0.971,0.08,높음,,더 재밌게 즐길 수 있을 것 같아서
714,4848.54,4849.94,1.4,0.664,0.771,0.09,중간,,그냥 고런 게임으로
715,4850.69,4851.94,1.25,0.672,0.912,0.1,중간,,어? 아닙니다 아닙니다
716,4854.24,4861.94,7.7,0.883,0.996,0.06,높음,,일단은 이 게임을 좀 마무리를 하고 저의 긴장된 몸에 약간 느슨한
717,4862.94,4863.94,1.0,0.72,0.96,0.09,높음,,약간 고런걸
718,4864.36,4865.94,1.57,0.933,0.975,0.05,높음,,해주고 싶어요 지금 너무 긴장되있어요
719,4867.24,4867.94,0.7,0.0,0.343,0.95,낮음,no_speech_detected,몸이
720,4868.14,4873.94,5.8,0.584,0.857,0.05,중간,,이 게임은 이정도로 일단 마무리를 하는걸로 할게요
721,4876.39,4877.94,1.55,0.368,0.523,0.08,중간,,아이 그쵸
722,4878.09,4883.94,5.85,0.928,0.99,0.09,높음,,아 근데 졸려님이 같이 해주신다 그래도 이게 약간 4인까지 되잖아요
723,4884.34,4891.94,7.6,0.812,0.867,-0.01,높음,,그래서 4인이 같이 이렇게 뭔가 게임을 하면서 재밌게 즐길 수 있는 약간
724,4894.54,4897.94,3.4,0.844,0.985,0.08,높음,,너무 일방적으로 한 명이 다
725,4898.09,4901.94,3.85,0.782,0.805,-2.15,중간,onset_off,캐리하면서 끌고 가버리면 나머지 사람들이 엥?
726,4901.94,4907.94,6.0,0.72,0.905,0.51,중간,,이 게임을 즐기기도 전에 막 끝나버릴 수도 있거든요 약간 즐기는 느낌이면
727,4908.72,4913.94,5.22,0.626,0.77,0.07,중간,,일단은 일단은 오늘 이 땡룸 방송은
728,4914.09,4915.94,1.85,0.438,0.714,0.09,중간,,여기까지 하겠습니다
729,4920.34,4921.94,1.6,0.462,0.987,0.05,중간,,하 잠깐만
730,4922.49,4923.94,1.45,0.959,1.0,0.06,높음,,잠깐만요 너무 긴장을 했어
731,4924.09,4925.94,1.85,0.0,0.0,-1.54,낮음,onset_off;no_speech_detected,진짜
